datetime,pm2p5,err,err_state_change,dur,err_type,start_datetime,duration,end_datetime,comment
2022-04-07T08:00:00Z,-20.63,1,1,1,1,2022-04-07T08:00:00Z,5,2022-04-07T08:05:00Z,Missing record for 5 minutes from 06/04/2022 2000 to 06/04/2022 2005 due to value less than -20.
2022-04-29T04:40:00Z,-22.5279,1,1,4,1,2022-04-29T04:40:00Z,20,2022-04-29T05:00:00Z,Missing record for 20 minutes from 28/04/2022 1640 to 28/04/2022 1700 due to value less than -20.
2022-06-22T19:55:00Z,NA,1,1,9,3,2022-06-22T19:55:00Z,45,2022-06-22T20:40:00Z,Missing record for 45 minutes from 22/06/2022 0755 to 22/06/2022 0840 due to Watercare undertaking instrument audit (power off).
2022-06-22T20:55:00Z,-37.9889,1,1,41,1,2022-06-22T20:55:00Z,205,2022-06-23T00:20:00Z,Missing record for 205 minutes from 22/06/2022 0855 to 22/06/2022 1220 due to value less than -20.
