datetime,pm10
2022-03-28 23:59:59,9
2022-03-29 23:59:59,14
2022-03-30 23:59:59,8
2022-03-31 23:59:59,10
2022-04-01 23:59:59,13
2022-04-02 23:59:59,12
2022-04-03 23:59:59,11
2022-04-04 23:59:59,14
2022-04-05 23:59:59,16
2022-04-06 23:59:59,8
2022-04-07 23:59:59,10
2022-04-08 23:59:59,11
2022-04-09 23:59:59,14
2022-04-10 23:59:59,12
2022-04-11 23:59:59,12
2022-04-12 23:59:59,13
2022-04-13 23:59:59,7
2022-04-14 23:59:59,12
2022-04-15 23:59:59,15
2022-04-16 23:59:59,10
2022-04-17 23:59:59,12
2022-04-18 23:59:59,16
2022-04-19 23:59:59,20
2022-04-20 23:59:59,13
2022-04-21 23:59:59,17
2022-04-22 23:59:59,7
2022-04-23 23:59:59,8
2022-04-24 23:59:59,4
2022-04-25 23:59:59,8
2022-04-26 23:59:59,12
2022-04-27 23:59:59,14
2022-04-28 23:59:59,11
2022-04-29 23:59:59,9
2022-04-30 23:59:59,10
2022-05-01 23:59:59,10
2022-05-02 23:59:59,17
2022-05-03 23:59:59,13
2022-05-04 23:59:59,13
2022-05-05 23:59:59,13
2022-05-06 23:59:59,19
2022-05-07 23:59:59,14
2022-05-08 23:59:59,13
2022-05-09 23:59:59,16
2022-05-10 23:59:59,10
2022-05-11 23:59:59,15
2022-05-12 23:59:59,20
2022-05-13 23:59:59,19
2022-05-14 23:59:59,9
2022-05-15 23:59:59,12
2022-05-16 23:59:59,9
2022-05-17 23:59:59,26
2022-05-18 23:59:59,16
2022-05-19 23:59:59,16
2022-05-20 23:59:59,10
2022-05-21 23:59:59,10
2022-05-22 23:59:59,7
2022-05-23 23:59:59,28
2022-05-24 23:59:59,16
2022-05-25 23:59:59,12
2022-05-26 23:59:59,15
2022-05-27 23:59:59,24
2022-05-28 23:59:59,22
2022-05-29 23:59:59,30
2022-05-30 23:59:59,18
2022-05-31 23:59:59,15
2022-06-01 23:59:59,19
2022-06-02 23:59:59,25
2022-06-03 23:59:59,23
2022-06-04 23:59:59,29
2022-06-05 23:59:59,22
2022-06-06 23:59:59,21
2022-06-07 23:59:59,11
2022-06-08 23:59:59,14
2022-06-09 23:59:59,20
2022-06-10 23:59:59,15
2022-06-11 23:59:59,22
2022-06-12 23:59:59,18
2022-06-13 23:59:59,19
2022-06-14 23:59:59,24
2022-06-15 23:59:59,15
2022-06-16 23:59:59,41
2022-06-17 23:59:59,40
2022-06-18 23:59:59,34
2022-06-19 23:59:59,32
2022-06-20 23:59:59,43
2022-06-21 23:59:59,43
2022-06-22 00:00:01,0
gap,gap
2022-06-23 00:00:01,0
2022-06-23 23:59:59,50
2022-06-24 23:59:59,19
2022-06-25 23:59:59,21
2022-06-26 23:59:59,26
2022-06-27 23:59:59,34
2022-06-28 23:59:59,24
2022-06-29 23:59:59,27
2022-06-30 23:59:59,42
2022-07-01 23:59:59,17
2022-07-02 23:59:59,28
2022-07-03 23:59:59,15
2022-07-04 23:59:59,33
2022-07-05 23:59:59,32
2022-07-06 23:59:59,24
2022-07-07 23:59:59,32
2022-07-08 23:59:59,13
2022-07-09 23:59:59,13
2022-07-10 23:59:59,8
2022-07-11 23:59:59,11
2022-07-12 23:59:59,6
2022-07-13 23:59:59,27
2022-07-14 23:59:59,23
2022-07-15 23:59:59,25
2022-07-16 23:59:59,32
2022-07-17 23:59:59,38
2022-07-18 23:59:59,21
2022-07-19 23:59:59,20
2022-07-20 23:59:59,15
2022-07-21 23:59:59,9
2022-07-22 23:59:59,37
2022-07-23 23:59:59,36
2022-07-24 23:59:59,25
2022-07-25 23:59:59,17
2022-07-26 23:59:59,8
2022-07-27 23:59:59,16
2022-07-28 23:59:59,14
2022-07-29 23:59:59,17
2022-07-30 23:59:59,14
2022-07-31 23:59:59,21
2022-08-01 23:59:59,27
