datetime,humidity
2022-08-01 00:30:00,92.3529
2022-08-01 01:00:00,91.2467
2022-08-01 01:30:00,91.3256
2022-08-01 02:00:00,85.1161
2022-08-01 02:30:00,85.8465
2022-08-01 03:00:00,90.7102
2022-08-01 03:30:00,89.2213
2022-08-01 04:00:00,86.6848
2022-08-01 04:30:00,83.6051
2022-08-01 05:00:00,81.0031
2022-08-01 05:30:00,85.8119
2022-08-01 06:00:00,80.9063
2022-08-01 06:30:00,76.0019
2022-08-01 07:00:00,80.0611
2022-08-01 07:30:00,83.2056
2022-08-01 08:00:00,84.6436
2022-08-01 08:30:00,77.8693
2022-08-01 09:00:00,67.9096
2022-08-01 09:30:00,63.297
2022-08-01 10:00:00,65.2987
2022-08-01 10:30:00,63.02
2022-08-01 11:00:00,54.801
2022-08-01 11:30:00,49.9234
2022-08-01 12:00:00,47.5267
2022-08-01 12:30:00,46.3694
2022-08-01 13:00:00,44.5389
2022-08-01 13:30:00,44.5423
2022-08-01 14:00:00,41.7524
2022-08-01 14:30:00,40.7022
2022-08-01 15:00:00,42.3456
2022-08-01 15:30:00,42.5166
2022-08-01 16:00:00,44.0101
2022-08-01 16:30:00,48.3295
2022-08-01 17:00:00,53.1402
2022-08-01 17:30:00,60.3949
2022-08-01 18:00:00,64.9997
2022-08-01 18:30:00,71.6722
2022-08-01 19:00:00,79.8938
2022-08-01 19:30:00,84.6154
2022-08-01 20:00:00,87.5335
2022-08-01 20:30:00,88.6862
2022-08-01 21:00:00,91.2259
2022-08-01 21:30:00,92.7954
2022-08-01 22:00:00,91.8024
2022-08-01 22:30:00,92.685
2022-08-01 23:00:00,92.1571
2022-08-01 23:30:00,92.6319
2022-08-02 00:00:00,93.842
2022-08-02 00:30:00,94.0834
2022-08-02 01:00:00,94.933
2022-08-02 01:30:00,94.4174
2022-08-02 02:00:00,92.9161
2022-08-02 02:30:00,91.9989
2022-08-02 03:00:00,91.8246
2022-08-02 03:30:00,92.9254
2022-08-02 04:00:00,93.8878
2022-08-02 04:30:00,94.6096
2022-08-02 05:00:00,94.7909
2022-08-02 05:30:00,94.8209
2022-08-02 06:00:00,95.3789
2022-08-02 06:30:00,96.2544
2022-08-02 07:00:00,96.8298
2022-08-02 07:30:00,97.1233
2022-08-02 08:00:00,97.2738
2022-08-02 08:30:00,96.7303
2022-08-02 09:00:00,87.8083
2022-08-02 09:30:00,78.3489
2022-08-02 10:00:00,72.6375
2022-08-02 10:30:00,73.8794
2022-08-02 11:00:00,62.5049
2022-08-02 11:30:00,59.5113
2022-08-02 12:00:00,61.8735
2022-08-02 12:30:00,56.5123
2022-08-02 13:00:00,58.5092
2022-08-02 13:30:00,60.5228
2022-08-02 14:00:00,62.757
2022-08-02 14:30:00,60.7786
2022-08-02 15:00:00,60.6652
2022-08-02 15:30:00,60.2906
2022-08-02 16:00:00,63.8513
2022-08-02 16:30:00,67.6299
2022-08-02 17:00:00,69.838
2022-08-02 17:30:00,77.5826
2022-08-02 18:00:00,80.5329
2022-08-02 18:30:00,80.7404
2022-08-02 19:00:00,83.7269
2022-08-02 19:30:00,84.4957
2022-08-02 20:00:00,83.45
2022-08-02 20:30:00,83.691
2022-08-02 21:00:00,85.8302
2022-08-02 21:30:00,84.9353
2022-08-02 22:00:00,81.8636
2022-08-02 22:30:00,83.0186
2022-08-02 23:00:00,85.8054
2022-08-02 23:30:00,88.9427
2022-08-03 00:00:00,89.439
2022-08-03 00:30:00,89.5468
2022-08-03 01:00:00,91.9912
2022-08-03 01:30:00,94.1319
2022-08-03 02:00:00,95.6119
2022-08-03 02:30:00,95.6194
2022-08-03 03:00:00,89.1734
2022-08-03 03:30:00,87.8203
2022-08-03 04:00:00,85.9084
2022-08-03 04:30:00,87.268
2022-08-03 05:00:00,90.6616
2022-08-03 05:30:00,92.5873
2022-08-03 06:00:00,97.0242
2022-08-03 06:30:00,97.9732
2022-08-03 07:00:00,98.4934
2022-08-03 07:30:00,98.8309
2022-08-03 08:00:00,99.0637
2022-08-03 08:30:00,99.4469
2022-08-03 09:00:00,98.8094
2022-08-03 09:30:00,98.5376
2022-08-03 10:00:00,96.9784
2022-08-03 10:30:00,89.836
2022-08-03 11:00:00,76.0038
2022-08-03 11:30:00,69.6943
2022-08-03 12:00:00,69.0867
2022-08-03 12:30:00,64.0121
2022-08-03 13:00:00,60.6277
2022-08-03 13:30:00,55.6064
2022-08-03 14:00:00,55.4898
2022-08-03 14:30:00,53.3717
2022-08-03 15:00:00,58.8569
2022-08-03 15:30:00,44.7266
2022-08-03 16:00:00,42.9716
2022-08-03 16:30:00,48.5019
2022-08-03 17:00:00,54.1329
2022-08-03 17:30:00,57.6505
2022-08-03 18:00:00,63.4921
2022-08-03 18:30:00,67.5709
2022-08-03 19:00:00,70.4261
2022-08-03 19:30:00,70.5722
2022-08-03 20:00:00,71.657
2022-08-03 20:30:00,67.4033
2022-08-03 21:00:00,62.3106
2022-08-03 21:30:00,68.8845
2022-08-03 22:00:00,71.8723
2022-08-03 22:30:00,76.402
2022-08-03 23:00:00,79.0832
2022-08-03 23:30:00,84.4633
2022-08-04 00:00:00,78.8785
2022-08-04 00:30:00,84.0182
2022-08-04 01:00:00,74.9772
2022-08-04 01:30:00,72.5131
2022-08-04 02:00:00,73.4604
2022-08-04 02:30:00,78.1977
2022-08-04 03:00:00,85.8194
2022-08-04 03:30:00,87.0398
2022-08-04 04:00:00,89.7481
2022-08-04 04:30:00,90.4008
2022-08-04 05:00:00,92.8995
2022-08-04 05:30:00,93.9993
2022-08-04 06:00:00,94.1294
2022-08-04 06:30:00,94.5937
2022-08-04 07:00:00,95.7191
