datetime,pm10,err,err_state_change,dur,err_type,start_datetime,duration,end_datetime,comment
2022-08-31T23:15:00Z,NA,1,1,7,3,2022-08-31T23:15:00Z,35,2022-08-31T23:50:00Z,Missing record for 35 minutes from 31/08/2022 1115 to 31/08/2022 1150 due to Watercare undertaking instrument audit (power off).
2022-09-01T00:10:00Z,-11656.6,1,1,42,2,2022-09-01T00:10:00Z,210,2022-09-01T03:40:00Z,Missing record for 210 minutes from 31/08/2022 1210 to 31/08/2022 1540 due to value less than -50.
