date,dur,pm,pm_out,err_type,duration,duration_hours,comment
2022-04-06,2,8.035,8.231118881118881,1,10,0.17,Daily value recalculated from valid 5 minute readings due to 10 minutes missing data caused by instrument check.  23 hours of data is required to calculate a valid daily value.  The recalculation changed the daily value from 8.035 to 8.231.
2022-06-22,52,NA,NA,2,260,4.33,Missing record on 22/06/2022 for 1 day due to 4.33 hours of missing data while Watercare completed instrument audit.
