wd,ws <=5,ws 5 - 8,ws 8 - 11,ws 11 - 14,ws 14 - 17,ws 17 - 20,ws >20
22.5,8.953989340660131,4.673710557925096,1.0688110017046313,0.381923715952329,0.07408313134291689,0.012227312940092716,7.19253702358813e-4
45,2.980587342573346,1.9599663389267294,1.168068012630095,0.2862629735386557,0.044593729546223315,0.00575402961886784,0
67.5,2.2706839383455724,0.9479763797084146,0.1985140218509276,0.02661238698726187,0.00287701480943392,0,0
90,1.8290621650974948,0.19707551444621085,0.017262088856602187,0.0014385074047167379,0,0,0
112.5,2.0577848424474765,0.2186531255169637,0.03524343141556319,0.0014385074047167379,0,0.0014385074047167379,0
135,2.234721253227651,0.15535879970942146,0.025173879582545577,0.004315522214150214,0,7.19253702358813e-4,7.192537023579249e-4
157.5,1.9383887278559768,0.035243431415562965,0.008631044428301315,7.19253702358591e-4,0,0,0
180,2.8173167521379816,0.04675149065329842,0.004315522214150658,0,7.192537023579249e-4,0,0
202.5,8.009609229463509,0.31143685312120084,0.05322477397452374,0.008631044428302204,0.003596268511792289,0,0
225,24.846619147972067,2.7806348133177003,1.252220695806031,0.28266670502686253,0.033085670308487636,0.002877014809438805,0
247.5,8.250559219753583,2.160638121884732,0.852315637294744,0.11723835348442435,0.013665820344810342,0,0
270,2.319593190105946,0.3639423733933671,0.08199492206886116,0.007192537023584578,7.192537023583689e-4,7.192537023583689e-4,0
292.5,1.126351297893306,0.10788805535376489,0.027331640689620462,0.00143850740471696,0,0,0
315,1.0853538368588753,0.06689059431933408,0.007192537023584578,0.0014385074047167379,0,0,0
337.5,1.7247703782555222,0.16830536635187343,0.025893133284903724,0.0035962685117920667,0,0,0
360,5.086562183078837,0.8717354872584204,0.2272841699452659,0.09637999611602943,0.025173879582545133,0.0035962685117914006,0
