wd,ws <=5,ws 5 - 8,ws 8 - 11,ws 11 - 14,ws 14 - 17,ws 17 - 20,ws >20
22.5,4.214151059576928,1.9841608169683873,1.2414622824717458,0.45944998626386724,0.10278417218480218,0.024156648762328814,0.002841958677919365
45,3.296198406608501,1.1633084188289233,0.3741912259262419,0.09710025482896167,0.029840566118168432,0.005683917355842283,0.0018946391186132061
67.5,2.7259120319057226,1.02499976317011,0.37466488570589496,0.1113100482185656,0.02320932920302088,9.47319559306159e-4,0
90,2.371614516724927,1.0974697094570907,0.736067297581493,0.2301986529115876,0.049260617083960234,0.012315154270990725,4.7365977965352357e-4
112.5,1.9007966957493774,0.42060988433228186,0.20367370525099204,0.05778649311772366,0.011841494491336757,9.473195593070471e-4,0
135,1.8539043775636834,0.2098312823864874,0.10420515152376364,0.037419122592624365,0.003315618457574221,0,0
157.5,2.119153854169627,0.2950900427241123,0.06631236915148575,0.017051752067525072,0.0037892782372277445,0,0
180,3.865537461751973,1.3338259395041736,0.48834323282272774,0.08289046143935686,0.004262938016881712,0,0
202.5,8.460037324390637,4.073947764799499,1.51334299599284,0.3254042686219343,0.05447087466015077,0.0037892782372264122,0
225,13.380888775210542,5.529504267674616,1.237199344454865,0.18804293252242843,0.03315618457574132,0.008525876033761648,9.473195593088235e-4
247.5,8.15878970453103,2.782277545684485,0.5153418402629768,0.07625922452420753,0.018946391186139167,0.0018946391186140943,0
270,3.643391025094495,0.6380197231932248,0.13499303720123912,0.0331561845757431,0.0014209793389596825,4.7365977965441175e-4,0
292.5,1.8524833982247233,0.21409422040336867,0.08194314188005025,0.02131469008440634,0.0018946391186136502,4.7365977965352357e-4,0
315,1.6615985070243744,0.20272638569168566,0.047365977965346584,0.018946391186138944,0.008525876033762536,0.0018946391186140943,4.736597796533015e-4
337.5,1.8496414395468022,0.4821856556872328,0.25672360057218135,0.1501501501501501,0.06631236915148575,0.017525411847178596,0.004262938016881268
360,3.4051401559287995,1.7189113403624448,1.2390939835734782,0.6725968871079289,0.2633548374873298,0.07104896694802054,0.03599814325366335
