wd,ws <=5,ws 5 - 8,ws 8 - 11,ws 11 - 14,ws 14 - 17,ws 17 - 20,ws >20
22.5,2.78630877176778,2.478698172149777,2.352025281797699,0.7301834447768876,0.1124881656511949,0.0042884051421268055,0
45,2.7007056075845393,1.927308234067751,1.0887600901224825,0.3092599862111287,0.05822334673734808,0.0032987731862519354,0
67.5,2.437133630003002,1.0811729117941038,0.7872522208990471,0.402945144700686,0.08098488172248697,0.0037935891641902586,0
90,2.57205345332071,0.9109562153834991,0.7319977700293259,0.3081054155959393,0.04255417410265139,0.002639018549002614,0
112.5,2.67349072879796,0.9766018017899145,0.5187320835381324,0.17071151238854299,0.026060308171389934,9.896319558757583e-4,0
135,2.8902201271347185,1.0966771457694886,0.45160204919790337,0.15669172634697137,0.045523069970277774,4.948159779383232e-4,0
157.5,2.755960058454261,1.5411868326169502,0.6680015702160356,0.19380292469230742,0.03216303856595726,0.0037935891641902586,0
180,2.7480430028072558,2.1791695668380937,1.424080384505002,0.46908554708503925,0.09170589457780576,0.007587178328380517,9.8963195587487e-4
202.5,2.700870546243852,2.243825521288633,1.8547352239702057,0.8340948001438262,0.18868982625361586,0.016163988612635904,0.0011545706151876445
225,2.7242918358662416,1.2368750061851994,1.0120636135421237,0.5637603375304723,0.14976430265584284,0.01764843654644821,3.298773186255488e-4
247.5,3.372335828305453,0.5845426086038601,0.2934258749171188,0.1444862655578385,0.03991515555364966,0.006102730394566436,1.649386593127744e-4
270,5.1546629808374265,0.871370937148475,0.2670356894271011,0.07983031110730021,0.009401503580817483,0.002144202571064291,0
292.5,4.228862286115794,0.9470777817729585,0.327733116054139,0.12007534397957453,0.013360031404320516,0,0
315,3.106124832174914,0.9561494080351522,0.47700260273204353,0.17615448814585832,0.029688958676268307,0.0024740798896889515,1.649386593127744e-4
337.5,2.662439838624016,1.8553949786074555,2.395239210537601,1.6932602765031692,0.36434949842153586,0.020617332414076373,3.298773186255488e-4
360,3.025304889111739,2.6581514334818888,3.4270954631972366,1.7211349099269988,0.2294296751038285,0.010226196877381355,1.6493865931188623e-4
