wd,ws <=5,ws 5 - 8,ws 8 - 11,ws 11 - 14,ws 14 - 17,ws 17 - 20,ws >20
22.5,2.4933133177374245,1.515647979517035,0.431808541172944,0.066549316345478,0.0033020653148518875,5.080100484384786e-4,0
45,2.3645327704582,1.2207481463983356,0.39853388300020587,0.13233661761829651,0.027940552664131424,0.002286045217974042,5.080100484393668e-4
67.5,1.6058197631149143,0.3474788731321108,0.07035939170876793,0.01193823613831091,0.003048060290632648,2.540050242192393e-4,0
90,1.859570782310074,0.211078175126304,0.036830728511809685,0.0033020653148518875,0,0,0
112.5,2.7396981912302225,0.41860027991353643,0.1315746025456388,0.024638487349279536,0.0017780351695355634,0,0
135,5.269334227431019,1.3922015377464154,0.9535348609195502,0.5102960936567333,0.15418104970116175,0.022352442131305494,0.0012700251210961966
157.5,13.034267817817435,3.1074974662998844,1.736378345563672,0.7767473640628637,0.19634588372158035,0.06807334649079166,0.012700251210969071
180,11.526747999075422,3.410525460193602,0.2474008935896741,0.06375526107906637,0.014478286380503746,0.0017780351695364516,0
202.5,3.6134754745448867,0.37745146598999746,0.06146921586108922,0.030226597882106354,0.013462266283627677,0.005842115557045169,0.0033020653148518875
225,2.2664868311095194,0.17373943656605517,0.11506427597137847,0.10490407500260357,0.07924956755644619,0.052071029964972926,0.030988612954764516
247.5,1.905037681645343,0.36068713439151834,0.3716093504329514,0.3886276870556502,0.2852476421983625,0.14630689395036267,0.10160200968775124
270,1.6662729588791267,0.6954657563126598,1.0404045792025771,1.0132260416111025,0.5755753848811134,0.14808492911989735,0.04495888928683023
292.5,1.643666511723602,1.065551076600295,1.2936475883492982,1.1851874430076226,0.6253603696281109,0.20320401937550336,0.06680332136969636
315,2.4463223882568395,1.9776831185720853,1.4874534218286843,0.8940976852522136,0.32868250133987686,0.10388805490572572,0.03098861295476496
337.5,2.697787362234025,2.3937433482434276,0.9250862982069785,0.3121721747656174,0.07721752736269138,0.038100753632906326,0.01320826125940755
360,2.7732268544271808,2.3376082378909455,0.46482919432146286,0.044958889286831116,0.010160200968774902,0.0033020653148518875,0.0020320401937548027
