"","datetime","pm10","pm2p5"
"2655",2022-04-07 19:55:00,11.4472,1.37685
"2656",2022-04-07 20:00:00,12.8846,0.894052
"2657",2022-04-07 20:05:00,11.431,3.04911
"2658",2022-04-07 20:10:00,9.54395,3.96045
"2659",2022-04-07 20:15:00,8.96369,5.64947
"2660",2022-04-07 20:20:00,8.64795,4.66022
"2661",2022-04-07 20:25:00,7.35126,5.19068
"2662",2022-04-07 20:30:00,9.64673,5.19653
"2663",2022-04-07 20:35:00,9.17969,5.20558
"2664",2022-04-07 20:40:00,6.63843,6.0342
"2665",2022-04-07 20:45:00,7.55583,5.17976
"2666",2022-04-07 20:50:00,9.0135,8.20079
"2667",2022-04-07 20:55:00,8.84316,7.21402
"2668",2022-04-07 21:00:00,10.6552,4.54166
"2669",2022-04-07 21:05:00,12.7768,1.30455
"2670",2022-04-07 21:10:00,11.9311,0.566675
"2671",2022-04-07 21:15:00,9.27123,1.13502
"2672",2022-04-07 21:20:00,9.80921,-0.631285
"2673",2022-04-07 21:25:00,11.1042,1.53909
"2674",2022-04-07 21:30:00,8.11011,5.22407
"2675",2022-04-07 21:35:00,4.81175,5.3941
"2676",2022-04-07 21:40:00,7.53599,5.23162
"2677",2022-04-07 21:45:00,10.0014,7.06226
"2678",2022-04-07 21:50:00,10.3973,10.6495
"2679",2022-04-07 21:55:00,11.8169,9.19728
"2680",2022-04-07 22:00:00,11.417,8.6966
"2681",2022-04-07 22:05:00,11.3698,8.20774
"2682",2022-04-07 22:10:00,14.9745,7.77757
"2683",2022-04-07 22:15:00,12.7323,5.56951
"2684",2022-04-07 22:20:00,12.4209,4.28907
"2685",2022-04-07 22:25:00,13.0887,1.74112
"2686",2022-04-07 22:30:00,13.0612,1.07617
"2687",2022-04-07 22:35:00,13.2579,-0.146103
"2688",2022-04-07 22:40:00,15.0951,0.116171
"2689",2022-04-07 22:45:00,14.3599,1.5553
"2690",2022-04-07 22:50:00,12.8099,0.832849
"2691",2022-04-07 22:55:00,11.9036,1.65923
"2692",2022-04-07 23:00:00,13.3068,3.7959
"2693",2022-04-07 23:05:00,16.8871,2.3083
"2694",2022-04-07 23:10:00,16.784,2.63172
"2695",2022-04-07 23:15:00,15.2519,2.83171
"2696",2022-04-07 23:20:00,16.2958,4.0494
"2697",2022-04-07 23:25:00,20.026,5.2177
"2698",2022-04-07 23:30:00,18.5794,6.58744
"2699",2022-04-07 23:35:00,16.0597,7.44713
"2700",2022-04-07 23:40:00,10.0965,7.57736
"2701",2022-04-07 23:45:00,9.14055,8.85842
"2702",2022-04-07 23:50:00,9.11919,7.89884
"2703",2022-04-07 23:55:00,9.58775,8.15505
"2704",2022-04-08 00:00:00,7.98846,8.8139
"2705",2022-04-08 00:05:00,9.72097,9.21843
"2706",2022-04-08 00:10:00,9.72097,9.21843
"2707",2022-04-08 00:15:00,9.72103,9.21845
"2708",2022-04-08 00:20:00,12.1994,9.32873
"2709",2022-04-08 00:25:00,16.8584,8.69327
"2710",2022-04-08 00:30:00,19.1723,8.01491
"2711",2022-04-08 00:35:00,21.2143,5.89027
"2712",2022-04-08 00:40:00,22.2114,11.1522
"2713",2022-04-08 00:45:00,22.8327,13.5992
"2714",2022-04-08 00:50:00,20.0055,12.015
"2715",2022-04-08 00:55:00,18.9745,11.4007
"2716",2022-04-08 01:00:00,18.8134,7.93961
"2717",2022-04-08 01:05:00,17.6629,6.65111
"2718",2022-04-08 01:10:00,20.9966,5.85206
"2719",2022-04-08 01:15:00,22.381,5.61603
"2720",2022-04-08 01:20:00,22.7492,8.58116
"2721",2022-04-08 01:25:00,21.6601,10.8267
"2722",2022-04-08 01:30:00,20.4932,10.6057
"2723",2022-04-08 01:35:00,21.9048,9.9906
"2724",2022-04-08 01:40:00,18.2753,9.39973
"2725",2022-04-08 01:45:00,15.1335,6.06088
"2726",2022-04-08 01:50:00,18.4498,5.94683
"2727",2022-04-08 01:55:00,18.8408,8.5996
"2728",2022-04-08 02:00:00,19.2047,7.55163
"2729",2022-04-08 02:05:00,18.0342,4.77785
"2730",2022-04-08 02:10:00,16.9641,5.21954
"2731",2022-04-08 02:15:00,19.7764,9.14054
"2732",2022-04-08 02:20:00,19.5662,4.53351
"2733",2022-04-08 02:25:00,16.3805,1.42102
"2734",2022-04-08 02:30:00,15.2217,2.13809
"2735",2022-04-08 02:35:00,16.5191,0.00454716
"2736",2022-04-08 02:40:00,15.7593,1.05346
"2737",2022-04-08 02:45:00,14.7582,-0.804958
"2738",2022-04-08 02:50:00,12.5944,0.127204
"2739",2022-04-08 02:55:00,10.4617,1.5664
"2740",2022-04-08 03:00:00,9.44509,4.49594
"2741",2022-04-08 03:05:00,8.84713,5.74808
"2742",2022-04-08 03:10:00,7.10811,8.02741
"2743",2022-04-08 03:15:00,11.6758,6.03534
"2744",2022-04-08 03:20:00,11.3323,7.35639
"2745",2022-04-08 03:25:00,11.7982,7.7736
"2746",2022-04-08 03:30:00,11.3027,7.30371
"2747",2022-04-08 03:35:00,7.72848,4.60783
"2748",2022-04-08 03:40:00,10.7749,5.04785
"2749",2022-04-08 03:45:00,10.3973,2.76176
"2750",2022-04-08 03:50:00,9.57806,1.37381
"2751",2022-04-08 03:55:00,10.543,-1.83837
"2752",2022-04-08 04:00:00,11.867,-4.51496
"2753",2022-04-08 04:05:00,12.3558,-4.04731
"2754",2022-04-08 04:10:00,12.9203,-1.35356
"2755",2022-04-08 04:15:00,12.8064,-0.480657
"2756",2022-04-08 04:20:00,14.8169,0.694528
"2757",2022-04-08 04:25:00,13.0765,3.92729
"2758",2022-04-08 04:30:00,12.8766,5.53738
"2759",2022-04-08 04:35:00,11.503,4.34388
"2760",2022-04-08 04:40:00,10.1027,6.3683
"2761",2022-04-08 04:45:00,9.92426,5.11182
"2762",2022-04-08 04:50:00,9.52876,3.81089
"2763",2022-04-08 04:55:00,6.827,2.64423
"2764",2022-04-08 05:00:00,4.73643,2.15767
"2765",2022-04-08 05:05:00,2.82832,3.46626
"2766",2022-04-08 05:10:00,6.32396,1.06797
"2767",2022-04-08 05:15:00,8.39596,0.847358
"2768",2022-04-08 05:20:00,6.94094,4.81977
"2769",2022-04-08 05:25:00,5.84963,5.69583
"2770",2022-04-08 05:30:00,5.89251,4.15317
"2771",2022-04-08 05:35:00,6.94229,3.76999
"2772",2022-04-08 05:40:00,3.82317,3.87047
"2773",2022-04-08 05:45:00,3.77647,3.99314
"2774",2022-04-08 05:50:00,3.17392,4.11577
"2775",2022-04-08 05:55:00,2.18506,0.447612
"2776",2022-04-08 06:00:00,4.21618,-1.77863
"2777",2022-04-08 06:05:00,6.1383,-0.989588
"2778",2022-04-08 06:10:00,7.6204,-1.9012
"2779",2022-04-08 06:15:00,6.77303,-2.25133
