"","datetime","pm10_daily","pm2p5_daily","pm10_daily_calc","pm2p5_daily_calc"
"67",2022-06-02 23:59:59,24.7323,16.7901,24.7328969791667,16.7905257881944
"68",2022-06-03 23:59:59,22.5838,17.2938,22.5837044340278,17.2931041573611
"69",2022-06-04 23:59:59,28.5342,24.4131,28.5349041739583,24.4137517
"70",2022-06-05 23:59:59,22.3544,17.8939,22.3538923263889,17.8929736875
"71",2022-06-06 23:59:59,20.9071,12.0015,20.9072637048611,12.0016727375694
"72",2022-06-07 23:59:59,11.2026,5.53854,11.2028182222222,5.53858796388889
"73",2022-06-08 23:59:59,14.366,10.1045,14.3658888576389,10.1042599809028
"74",2022-06-09 23:59:59,20.4648,16.4613,20.46523281875,16.4613998959722
"75",2022-06-10 23:59:59,14.8772,11.87,14.8774375232639,11.8699135513889
"76",2022-06-11 23:59:59,22.4376,18.1104,22.4380464305556,18.1108279173611
"77",2022-06-12 23:59:59,18.4491,14.0586,18.4490127083333,14.0587129236111
"78",2022-06-13 23:59:59,19.278,14.7192,19.2776432118056,14.7193773580208
"79",2022-06-14 23:59:59,24.0253,20.916,24.0248232673611,20.9157379583333
"80",2022-06-15 23:59:59,14.8184,11.2004,14.8189117753472,11.2007490107639
"81",2022-06-16 23:59:59,41.2312,33.5719,41.2317655263194,33.5716221760417
"82",2022-06-17 23:59:59,40.447,30.3268,40.4481605555556,30.3272902743056
"83",2022-06-18 23:59:59,33.4999,28.1742,33.5003032638889,28.1736736597222
"84",2022-06-19 23:59:59,31.7174,26.2872,31.7176610277778,26.2873287361111
"85",2022-06-20 23:59:59,43.2979,36.3991,43.2983793402778,36.39948859375
"86",2022-06-21 23:59:59,43.4072,36.1973,43.4068859767361,36.1978563333333
"87",2022-06-21 23:59:59,22.0517,18.389,-1352.58788781362,-831.385719856631
"88",2022-06-21 23:59:59,0,0,-1352.58788781362,-831.385719856631
"89",2022-06-22 23:59:59,-1354.43,-832.625,-1352.58788781362,-831.385719856631
"90",2022-06-23 23:59:59,49.7149,43.7178,49.7153157638889,43.71818370625
"91",2022-06-24 23:59:59,18.9971,17.6367,18.9970511458333,17.63664265625
"92",2022-06-25 23:59:59,21.0631,19.165,21.0638988099653,19.1657685072917
"93",2022-06-26 23:59:59,26.2759,23.0753,26.2755132833333,23.0750726288194
"94",2022-06-27 23:59:59,34.0312,28.9569,34.0319507013889,28.9578463440972
"95",2022-06-28 23:59:59,24.459,22.8483,24.45878375,22.8491884965278
"96",2022-06-29 23:59:59,26.5478,23.6789,26.5480844930556,23.6793781006944
"97",2022-06-30 23:59:59,41.54,35.5596,41.5399658368056,35.5610095902778
"98",2022-07-01 23:59:59,16.805,13.6887,16.8051023576389,13.6889063590278
"99",2022-07-02 23:59:59,28.2457,24.8004,28.2464797934375,24.8011032104514
"100",2022-07-03 23:59:59,14.7722,12.7431,14.7720517434028,12.7427110475694
"101",2022-07-04 23:59:59,33.0351,27.1753,33.0360597777778,27.1759044538194
"102",2022-07-05 23:59:59,32.2691,27.1328,32.2682931944444,27.1325257638889
"103",2022-07-06 23:59:59,24.3813,18.9492,24.38168453125,18.9496991190972
"104",2022-07-07 23:59:59,32.434,24.786,32.4338864548611,24.7871799947813
"105",2022-07-08 23:59:59,13.4693,13.1404,13.4692104486111,13.1400343611111
"106",2022-07-09 23:59:59,12.8005,9.60775,12.8004110069444,9.60762530902778
"107",2022-07-10 23:59:59,7.92277,6.71239,7.92272181597222,6.71238592430556
"108",2022-07-11 23:59:59,11.2795,8.10776,11.2792580208333,8.10774976388889
"109",2022-07-12 23:59:59,6.05472,5.44418,6.05474922569444,5.44407315625
"110",2022-07-13 23:59:59,27.2667,23.1361,27.2670420486111,23.1366235763889
"111",2022-07-14 23:59:59,22.8994,18.4899,22.8993436392361,18.4907626277778
"112",2022-07-15 23:59:59,25.2936,20.3952,25.2940691611111,20.3959822220139
"113",2022-07-16 23:59:59,31.7074,28.6782,31.7084721180556,28.6786161875
"114",2022-07-17 23:59:59,37.655,33.8429,37.6551062256944,33.8440539375
"115",2022-07-18 23:59:59,21.1043,14.284,21.1049871458333,14.2841413645833
"116",2022-07-19 23:59:59,19.936,11.2002,19.93613375,11.2006678548611
"117",2022-07-20 23:59:59,15.1845,14.2955,15.1843951721528,14.2949416263889
"118",2022-07-21 23:59:59,9.30345,6.97534,9.30371212638889,6.97556364201389
"119",2022-07-22 23:59:59,36.747,30.4557,36.7476926388889,30.4566799635417
"120",2022-07-23 23:59:59,35.527,32.391,35.5275312506944,32.3924828513889
"121",2022-07-24 23:59:59,24.5558,22.3395,24.55556275,22.3403225090278
"122",2022-07-25 23:59:59,16.6727,15.2871,16.6733110319444,15.2870683541667
"123",2022-07-26 23:59:59,7.7178,7.66868,7.71809256597222,7.66875793055556
"124",2022-07-27 23:59:59,16.1919,13.3488,16.1923321354167,13.3490803649306
"125",2022-07-28 23:59:59,13.6103,9.86767,13.6101805867361,9.86757748493056
"126",2022-07-29 23:59:59,16.6963,12.5985,16.6964494274306,12.5986646461806
"127",2022-07-30 23:59:59,13.7439,10.3134,13.7438683715278,10.3137685309722
"128",2022-07-31 23:59:59,20.5594,17.809,20.5599775923611,17.8094579847222
"129",2022-08-01 23:59:59,27.2847,24.4347,27.2852604097222,24.4354429902778
